"zone","state","lga","sector","ea","hhid","indiv","s4bq1","s4bq8","s4bq9","s4bq9_os","s4bq14","s4bq15__1","s4bq15__2","s4bq15__3","s4bq15__4","s4bq15__5","s4bq15__6","s4bq15__n96","s4bq15_os"
4,1,115,1,670,10001,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10001,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10001,3,1,1,2,,2,,,,,,,,
4,1,115,1,670,10001,4,1,1,1,,2,,,,,,,,
4,1,115,1,670,10001,8,2,,,,,,,,,,,,
4,1,115,1,670,10001,9,2,,,,,,,,,,,,
4,1,115,1,670,10002,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10002,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10002,3,1,2,,,2,,,,,,,,
4,1,115,1,670,10002,8,2,,,,,,,,,,,,
4,1,115,1,670,10002,9,2,,,,,,,,,,,,
4,1,115,1,670,10003,1,1,1,1,,2,,,,,,,,
4,1,115,1,670,10003,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10003,3,1,1,1,,1,1,0,0,0,0,1,0,
4,1,115,1,670,10003,4,1,1,1,,1,1,0,0,0,1,0,0,
4,1,115,1,670,10003,5,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10003,6,1,1,2,,2,,,,,,,,
4,1,115,1,670,10004,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10004,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10004,3,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10004,5,1,1,1,,2,,,,,,,,
4,1,115,1,670,10005,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10005,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10005,3,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10005,4,1,1,2,,2,,,,,,,,
4,1,115,1,670,10005,5,1,1,2,,2,,,,,,,,
4,1,115,1,670,10005,7,2,,,,,,,,,,,,
4,1,115,1,670,10008,1,1,1,1,,2,,,,,,,,
4,1,115,1,670,10008,2,1,1,1,,2,,,,,,,,
4,1,115,1,670,10008,4,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10008,5,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10008,6,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10008,7,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10008,8,2,,,,,,,,,,,,
4,1,105,2,0,10009,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,105,2,0,10009,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,105,2,0,10009,3,2,,,,,,,,,,,,
4,1,105,2,0,10009,5,2,,,,,,,,,,,,
4,1,105,2,0,10009,6,1,1,2,,2,,,,,,,,
4,1,105,2,0,10009,7,2,,,,,,,,,,,,
4,1,105,2,0,10009,8,2,,,,,,,,,,,,
4,1,115,1,670,10010,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10010,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10010,3,1,1,1,,1,1,0,0,0,0,0,0,
4,1,115,1,670,10010,4,1,1,1,,1,1,0,0,0,0,0,0,
4,1,111,1,1146,10031,1,1,1,1,,2,,,,,,,,
4,1,111,1,1146,10031,2,1,1,1,,2,,,,,,,,
4,1,111,1,1146,10031,3,1,2,,,2,,,,,,,,
4,1,111,1,1146,10031,4,1,2,,,2,,,,,,,,
4,1,111,1,1146,10031,5,2,,,,,,,,,,,,
4,1,111,1,1146,10032,1,1,1,1,,2,,,,,,,,
4,1,111,1,1146,10032,2,1,1,1,,2,,,,,,,,
4,1,111,1,1146,10032,3,1,1,1,,1,1,0,0,0,0,0,0,
4,1,111,1,1146,10033,1,1,1,1,,1,1,0,0,0,0,0,0,
4,1,111,1,1146,10033,2,1,1,1,,1,1,0,0,0,0,0,0,
4,1,111,1,1146,10034,2,1,1,1,,2,,,,,,,,
4,1,111,1,1146,10034,5,1,1,1,,1,1,0,0,0,0,0,0,
