"zone","state","lga","sector","ea","cluster_id","serial_id","c01q02","c01q03","c01q04a","c01q04b","c01q04_os","c01q05","c01q06"
5,10,1002,1,114,"1002-114",1,1,70,1,,,5,42
5,10,1002,1,114,"1002-114",2,1,82,6,,,31,322
5,10,1002,1,114,"1002-114",3,1,69,8,,,32,26
5,10,1002,1,114,"1002-114",4,2,58,2,,,32,26
5,10,1002,1,114,"1002-114",5,1,34,8,,,34,16
5,10,1002,1,114,"1002-114",6,1,28,12,,,15,41
5,10,1006,2,1708,"1006-1708",1,1,47,1,,,20,42
5,10,1006,2,1708,"1006-1708",2,1,65,8,,,35,26
5,10,1006,2,1708,"1006-1708",3,1,40,12,,,8,26
5,10,1006,2,1708,"1006-1708",4,1,45,3,,,20,26
5,10,1006,2,1708,"1006-1708",5,2,38,2,,,11,41
5,10,1006,2,474,"1006-474",1,1,86,1,,,51,26
5,10,1006,2,474,"1006-474",2,1,78,3,,,78,16
5,10,1006,2,474,"1006-474",3,1,81,11,,"High Chief",25,26
5,10,1006,2,474,"1006-474",4,1,80,3,,,80,26
5,10,1006,2,474,"1006-474",5,2,71,8,,,10,42
5,10,1006,2,474,"1006-474",6,1,51,11,,"community devrlopment chairman",15,42
5,10,1006,2,474,"1006-474",7,1,48,5,,,14,42
5,10,1006,2,474,"1006-474",8,1,38,12,,,38,26
5,10,1007,1,1026,"1007-1026",1,1,62,1,,,62,43
5,10,1007,1,1026,"1007-1026",2,2,57,2,,,15,34
5,10,1007,1,1026,"1007-1026",3,1,78,3,,,25,26
5,10,1007,1,1026,"1007-1026",4,1,91,3,,,58,26
5,10,1007,1,1026,"1007-1026",5,1,45,8,,,25,41
5,10,1007,1,1026,"1007-1026",6,1,37,12,,,37,42
5,10,1007,1,1026,"1007-1026",7,1,56,5,,,20,42
5,10,1008,2,1314,"1008-1314",1,1,92,1,,,50,26
5,10,1008,2,1314,"1008-1314",2,2,58,2,,,6,16
5,10,1008,2,1314,"1008-1314",3,1,76,3,,,31,28
5,10,1008,2,1314,"1008-1314",4,1,41,12,,,15,42
5,10,1008,2,1314,"1008-1314",5,1,53,5,,,22,41
5,10,1012,2,1106,"1012-1106",1,1,85,1,,,85,42
5,10,1012,2,1106,"1012-1106",2,1,68,3,,,68,42
5,10,1012,2,1106,"1012-1106",3,1,48,12,,,48,41
5,10,1012,2,1106,"1012-1106",4,1,70,8,,,25,42
5,10,1012,2,1106,"1012-1106",5,2,33,2,,,33,26
5,10,1012,2,428,"1012-428",1,1,95,1,,,95,0
5,10,1012,2,428,"1012-428",3,1,90,11,,"community chief",90,0
5,10,1012,2,428,"1012-428",4,1,61,3,,,2,16
5,10,1012,2,428,"1012-428",5,1,85,3,,,40,26
5,10,1012,2,428,"1012-428",7,1,70,8,,,40,16
5,10,1012,2,428,"1012-428",9,1,60,7,,,32,26
5,10,1012,2,428,"1012-428",10,1,70,3,,,3,26
5,10,1012,2,428,"1012-428",11,1,90,9,,,5,0
5,10,1012,2,428,"1012-428",12,1,38,12,,,4,42
5,10,1013,2,1054,"1013-1054",1,1,55,1,,,10,42
5,10,1013,2,1054,"1013-1054",2,2,43,2,,,10,42
5,10,1013,2,1054,"1013-1054",3,1,45,10,,,2,26
5,10,1013,2,1054,"1013-1054",4,2,38,8,,,3,26
5,10,1013,2,1054,"1013-1054",5,2,40,7,,,6,41
5,10,1013,2,410,"1013-410",1,1,70,1,,,3,321
5,10,1013,2,410,"1013-410",2,2,58,2,,,3,14
5,10,1013,2,410,"1013-410",3,1,59,3,,,11,42
5,10,1013,2,410,"1013-410",4,1,53,9,,,5,42
5,10,1013,2,410,"1013-410",5,1,49,5,,,49,34
5,10,1013,2,410,"1013-410",6,1,63,11,,"REVENUE OFFICER",5,16
5,10,1013,2,410,"1013-410",7,2,61,8,,,30,26
5,10,1013,2,88,"1013-88",1,1,65,1,,,15,16
5,10,1013,2,88,"1013-88",2,1,56,3,,,5,26
5,10,1013,2,88,"1013-88",3,1,54,5,,,1,34
5,10,1013,2,88,"1013-88",4,1,46,11,,"vigilante leader",18,26
5,10,1013,2,88,"1013-88",5,1,38,12,,,38,41
5,10,1013,2,948,"1013-948",1,1,48,1,,,30,34
5,10,1013,2,948,"1013-948",2,2,35,2,,,10,41
5,10,1013,2,948,"1013-948",3,1,56,9,,,3,42
5,10,1013,2,948,"1013-948",4,1,52,8,,,18,22
5,10,1013,2,948,"1013-948",5,2,30,5,,,4,42
5,10,1018,1,634,"1018-634",1,1,60,1,,,13,42
5,10,1018,1,634,"1018-634",2,2,50,2,,,13,42
5,10,1018,1,634,"1018-634",3,1,37,5,,,3,42
5,10,1018,1,634,"1018-634",4,1,46,9,,,2,41
5,10,1018,1,634,"1018-634",5,2,48,8,,,17,16
4,1,102,1,1690,"102-1690",1,1,61,8,11,"MEMBER LANDLORD COMMITTEE",18,16
4,1,102,1,1690,"102-1690",2,1,87,11,,"MEMBER LANDLORD COMMITTEE",36,16
4,1,102,1,1690,"102-1690",3,1,48,9,,,8,34
4,1,102,1,1690,"102-1690",4,1,59,8,11,"MARKET CHAIRMAN",12,24
4,1,102,1,1690,"102-1690",5,2,66,8,11,"MARKET WOMEN LEADER",15,16
4,1,102,1,2486,"102-2486",1,1,69,11,,"MEMBER OF THE LANDLORD ASSOCIATION",32,16
4,1,102,1,2486,"102-2486",2,1,62,11,,"MEMBER OF THE LANDLORD ASSOCIATION",30,13
4,1,102,1,2486,"102-2486",3,2,62,8,11,"MEMBER OF THE LANDLORD ASSOCIATION",25,16
4,1,102,1,2486,"102-2486",4,1,41,9,,,15,42
4,1,102,1,2486,"102-2486",5,1,65,8,11,"MEMBER OF LANDLORD COMMITTEE",18,26
4,1,102,1,2486,"102-2486",6,1,40,8,,,8,42
4,1,102,1,46,"102-46",1,1,60,8,11,"MEMBER LANDLORD COMMITTEE",20,42
4,1,102,1,46,"102-46",2,2,43,5,,,9,42
4,1,102,1,46,"102-46",3,2,65,8,11,"MEMBER LANDLORD COMMITTEE",28,16
4,1,102,1,46,"102-46",4,2,65,7,11,"MEMBER LANDLORD COMMITTEE",20,34
4,1,102,1,46,"102-46",5,1,69,11,,"MEMBER LANDLORD ASSOCIATION",27,16
4,1,102,1,46,"102-46",6,1,65,8,11,"MARKET P.R.O",15,26
4,1,102,1,806,"102-806",1,1,45,8,11,"MARKET CHAIRMAN",22,26
4,1,102,1,806,"102-806",2,1,49,11,,"MARKET SECRETARY",25,26
4,1,102,1,806,"102-806",3,1,57,8,11,"TASK FORCE CHAIRMAN",27,16
4,1,102,1,806,"102-806",4,2,55,11,,"MEMBER LANDLORD COMMITTEE",18,26
4,1,102,1,806,"102-806",5,1,63,11,,"MEMBER LANDLORD COMMITTEE",16,42
4,1,102,1,806,"102-806",6,1,49,5,9,,9,34
5,10,1022,1,30,"1022-30",1,1,75,1,,,30,16
5,10,1022,1,30,"1022-30",2,2,65,2,,,30,16
5,10,1022,1,30,"1022-30",3,1,52,8,,,20,25
5,10,1022,1,30,"1022-30",4,1,50,3,,,10,42
5,10,1022,1,30,"1022-30",5,2,41,8,,,4,41
5,10,1022,1,386,"1022-386",1,1,53,1,,,35,31
5,10,1022,1,386,"1022-386",2,2,48,2,,,32,33
5,10,1022,1,386,"1022-386",3,1,36,8,,,5,42
5,10,1022,1,386,"1022-386",4,2,55,5,,,10,42
5,10,1022,1,386,"1022-386",5,2,38,7,,,6,41
5,10,1023,2,346,"1023-346",1,1,88,1,,,88,0
5,10,1023,2,346,"1023-346",2,2,56,2,,,50,0
5,10,1023,2,346,"1023-346",3,1,66,8,,,9,42
5,10,1023,2,346,"1023-346",4,1,39,12,,,9,26
5,10,1023,2,346,"1023-346",5,1,42,3,,,20,26
5,10,1023,2,346,"1023-346",6,1,50,11,,"COMMUNITY CHAIRMAN",30,26
5,10,1025,2,1774,"1025-1774",1,1,63,1,,,4,33
5,10,1025,2,1774,"1025-1774",2,2,50,2,,,3,16
5,10,1025,2,1774,"1025-1774",3,2,41,8,,,6,26
5,10,1025,2,1774,"1025-1774",4,1,38,9,,,3,34
5,10,1025,2,1774,"1025-1774",5,1,46,5,,,7,42
4,1,104,2,1020,"104-1020",1,1,87,1,,,5,41
4,1,104,2,1020,"104-1020",2,2,72,2,,,5,42
4,1,104,2,1020,"104-1020",3,2,72,6,,,55,1
4,1,104,2,1020,"104-1020",4,2,56,8,,,48,16
4,1,104,2,1020,"104-1020",5,2,58,9,,,28,16
4,1,104,2,412,"104-412",1,1,55,1,4,,15,16
4,1,104,2,412,"104-412",2,2,47,2,,,15,26
4,1,104,2,412,"104-412",3,1,20,12,,,14,26
4,1,104,2,412,"104-412",4,1,25,8,,,16,26
4,1,104,2,412,"104-412",5,2,24,6,,,2,26
4,1,104,2,412,"104-412",6,2,35,9,,,25,26
4,1,104,2,412,"104-412",7,2,75,9,,,45,0
4,1,105,2,638,"105-638",1,1,85,1,,,10,16
4,1,105,2,638,"105-638",2,1,50,3,,,8,12
4,1,105,2,638,"105-638",3,1,70,6,,,45,13
4,1,105,2,638,"105-638",4,2,27,8,,,4,26
4,1,105,2,638,"105-638",5,2,60,9,,,6,13
4,1,105,2,638,"105-638",6,2,56,10,11,"woman leader",10,26
4,1,107,2,10,"107-10",1,1,60,1,8,,14,15
4,1,107,2,10,"107-10",2,2,51,8,11,"COMMUNITY WOMEN LEADER",11,16
4,1,107,2,10,"107-10",3,1,63,8,12,,13,16
4,1,107,2,10,"107-10",4,1,85,9,,,9,16
4,1,107,2,10,"107-10",5,1,46,8,11,"VILLAGE  CHAIRMAN",16,16
4,1,107,2,10,"107-10",6,2,49,2,8,,14,321
4,1,107,2,1044,"107-1044",2,1,67,9,11,"CHAIRMAN OF THE VILLAGE",29,42
4,1,107,2,1044,"107-1044",3,2,68,8,11,"WOMEN LEADER",34,16
4,1,107,2,1044,"107-1044",5,1,66,1,4,,65,42
4,1,107,2,1044,"107-1044",6,1,51,11,,"SECRETARY OF THE VILLAGE",26,26
4,1,107,2,1044,"107-1044",7,1,66,6,11,"VILLAGE TRESURER",60,34
4,1,107,2,1322,"107-1322",1,1,51,1,9,,35,26
4,1,107,2,1322,"107-1322",2,1,74,11,,"COMMUNITY LEADER",29,41
4,1,107,2,1322,"107-1322",3,2,65,8,11,"COMMUNITY WOMEN LEADER",26,26
4,1,107,2,1322,"107-1322",4,1,49,8,11,"CHAIRMAN OF CPSDP",30,42
4,1,107,2,1322,"107-1322",5,1,45,9,11,"FINANCIAL SECRETARY",32,26
4,1,108,2,904,"108-904",1,1,75,1,,,20,16
4,1,108,2,904,"108-904",2,2,60,2,,,20,16
4,1,108,2,904,"108-904",3,1,52,3,,,18,14
4,1,108,2,904,"108-904",4,2,45,8,,,30,26
4,1,108,2,904,"108-904",5,1,53,6,,,8,13
4,1,109,2,1214,"109-1214",1,1,78,1,,,60,16
4,1,109,2,1214,"109-1214",2,2,62,2,,,36,16
4,1,109,2,1214,"109-1214",3,1,66,8,11,"VILLAGE CHAIRMAN",32,26
4,1,109,2,1214,"109-1214",4,2,65,11,,"WOMEN LEADER",45,34
4,1,109,2,1214,"109-1214",5,1,39,8,12,,35,26
4,1,109,2,1792,"109-1792",1,1,56,1,11,"CHAIRMAN UDOALA AGE GRADE",56,26
4,1,109,2,1792,"109-1792",2,2,51,2,,,19,16
4,1,109,2,1792,"109-1792",3,1,28,12,,,5,16
4,1,109,2,1792,"109-1792",4,1,70,9,,,25,16
4,1,109,2,1792,"109-1792",5,1,54,8,11,"PUBLIC RELATIONS OFFICER",25,21
4,1,109,2,1792,"109-1792",6,1,65,11,,"VILLAGE CHAIRMAN",21,16
4,1,109,2,1996,"109-1996",1,1,52,1,8,,20,26
4,1,109,2,1996,"109-1996",2,1,49,8,12,,15,26
4,1,109,2,1996,"109-1996",3,2,48,8,11,"WOMEN LEADER",17,26
4,1,109,2,1996,"109-1996",4,1,57,8,,,20,26
4,1,110,2,338,"110-338",1,1,45,1,,,25,22
4,1,110,2,338,"110-338",2,2,35,2,,,35,14
4,1,110,2,338,"110-338",3,2,65,8,,,3,16
4,1,110,2,338,"110-338",4,2,25,6,,,25,16
4,1,110,2,338,"110-338",5,2,26,9,,,26,16
4,11,1101,2,154,"1101-154",1,1,61,1,,,61,0
4,11,1101,2,154,"1101-154",2,2,56,8,,,27,16
4,11,1101,2,154,"1101-154",3,1,58,5,,,8,34
4,11,1101,2,154,"1101-154",4,1,53,4,,,12,42
4,11,1101,2,154,"1101-154",5,1,45,9,,,5,42
4,11,1101,2,154,"1101-154",6,2,53,2,,,30,0
4,11,1102,2,936,"1102-936",1,1,53,1,,,15,42
4,11,1102,2,936,"1102-936",2,2,50,8,,,25,26
4,11,1102,2,936,"1102-936",3,1,49,12,,,49,26
4,11,1102,2,936,"1102-936",4,1,55,9,,,10,26
4,11,1102,2,936,"1102-936",5,1,58,5,,,5,34
4,11,1104,2,1610,"1104-1610",1,1,62,1,,,62,14
4,11,1104,2,1610,"1104-1610",2,1,42,12,,,42,26
4,11,1104,2,1610,"1104-1610",3,1,53,9,,,53,42
